Date,Consensual,Disturbance,Other,Property,Violent,White-Collar,Total,Temp (F) avg,Event
2015-11-10,67,5.0,39,305,180,44,640.0,44,Clear
2015-11-11,85,15.0,43,330,155,57,685.0,50,"Rain , Thunderstorm"
2015-11-12,80,13.0,43,361,132,62,691.0,49,Rain
2015-11-13,76,13.0,44,354,153,38,678.0,40,Clear
2015-11-14,74,8.0,38,377,169,29,695.0,41,Clear
2015-11-15,76,17.0,54,344,190,39,720.0,54,Clear
2015-11-16,66,8.0,46,396,175,50,741.0,50,Rain
2015-11-17,70,12.0,40,345,156,43,666.0,54,Rain
2015-11-18,73,12.0,40,341,170,45,681.0,55,Rain
2015-11-19,101,16.0,38,348,146,48,697.0,41,Clear
2015-11-20,92,11.0,40,353,171,43,710.0,36,"Fog , Snow"
2015-11-21,45,9.0,33,257,154,30,528.0,26,"Fog , Snow"
2015-11-22,45,7.0,49,244,146,28,519.0,17,Clear
2015-11-23,62,9.0,45,328,165,41,650.0,31,Clear
2015-11-24,54,8.0,43,322,150,30,607.0,31,Clear
2015-11-25,57,7.0,39,339,143,33,618.0,41,Clear
2015-11-26,31,7.0,31,303,195,20,587.0,54,Rain
2015-11-27,39,4.0,34,350,144,40,611.0,45,Rain
2015-11-28,51,12.0,32,343,182,37,657.0,34,Clear
2015-11-29,52,8.0,36,322,169,24,611.0,33,Clear
2015-11-30,64,7.0,60,351,140,43,665.0,41,Rain
2015-12-01,78,7.0,55,336,199,93,768.0,40,"Rain , Thunderstorm"
2015-12-02,82,9.0,40,383,157,41,712.0,35,"Fog , Rain , Snow"
2015-12-03,66,6.0,50,362,174,51,709.0,33,Clear
2015-12-04,68,9.0,47,363,168,46,701.0,40,Clear
2015-12-05,64,6.0,39,350,203,45,707.0,38,Fog
2015-12-06,57,9.0,42,371,177,31,687.0,37,Clear
2015-12-07,48,11.0,44,385,156,44,688.0,33,"Fog , Snow"
2015-12-08,70,8.0,55,377,171,47,728.0,43,Clear
2015-12-09,43,9.0,46,376,168,43,685.0,46,Clear
2015-12-10,52,5.0,48,370,172,42,689.0,49,Clear
2015-12-11,53,13.0,30,427,179,40,742.0,46,Clear
